9,4,2,3,3,3,6,9,2,6,10,8,3,9,8,3,5,7,5,7,0
8,3,9,8,4,7,8,2,2,10,0,3,7,10,9,7,0,4,5,5,628
2,7,7,3,8,1,9,3,7,0,9,2,7,4,8,10,10,4,6,4,604
8,4,7,8,4,7,4,7,3,10,7,9,0,5,10,3,6,3,3,10,615
3,7,0,2,10,0,1,8,3,8,3,6,10,5,8,3,6,7,6,8,531
2,10,3,4,1,2,10,2,8,7,9,8,0,3,5,6,3,4,4,9,606
6,2,8,2,8,4,5,9,4,5,3,2,4,9,3,0,10,5,6,6,473
5,7,0,5,3,6,9,4,5,0,10,7,4,1,6,0,1,9,1,8,485
9,10,3,2,3,8,3,7,2,2,0,5,9,4,5,3,10,5,7,10,534
10,7,7,8,4,4,7,6,0,4,7,2,7,9,9,3,4,6,9,8,636
6,6,1,5,1,4,6,6,1,5,3,10,10,7,4,3,2,5,7,9,542
0,4,4,5,1,5,9,8,2,1,7,9,9,8,5,3,6,4,10,4,521
8,2,8,6,0,4,6,0,6,1,8,4,2,2,5,7,9,4,10,2,498
4,8,1,8,3,5,2,6,9,5,4,1,6,8,5,9,6,6,2,4,615
3,0,0,5,5,5,10,9,5,3,2,2,0,8,10,5,9,2,5,2,495
10,8,0,10,4,4,8,9,1,7,1,3,4,7,4,6,1,1,2,8,605
5,9,6,4,7,6,0,1,8,10,6,2,5,1,5,1,1,8,0,5,494
5,1,9,10,10,7,5,9,2,8,10,1,10,6,3,7,4,2,5,2,622
10,1,6,5,4,0,1,4,9,7,9,4,2,5,8,6,1,1,7,4,535
0,6,0,9,0,7,7,5,5,7,1,4,1,10,6,7,3,4,5,6,564
9,4,2,4,9,1,10,9,8,3,9,5,3,0,5,10,8,4,2,1,603
