50
49
5,4,8,3,9,2,7,6,10,1,5,4,8,3,9,2,7,6,10,1,5,4,8,3,9,2,7,6,10,1,5,4,8,3,9,2,7,6,10,1,5,4,8,3,9,2,7,6,10
2,1,3,1,2,1,4,2,5,1,2,1,3,1,2,1,4,2,5,1,2,1,3,1,2,1,4,2,5,1,2,1,3,1,2,1,4,2,5,1,2,1,3,1,2,1,4,2,5,15
1,2,1,2,1,3,1,4,1,2,1,2,1,2,1,3,1,4,1,2,1,2,1,2,1,3,1,4,1,2,1,2,1,2,1,3,1,4,1,2,1,2,1,2,1,3,1,4,1,20
3,1,2,3,4,1,2,1,3,3,3,1,2,3,4,1,2,1,3,3,3,1,2,3,4,1,2,1,3,3,3,1,2,3,4,1,2,1,3,3,3,1,2,3,4,1,2,1,3,18
1,3,4,1,3,2,3,2,1,4,1,3,4,1,3,2,3,2,1,4,1,3,4,1,3,2,3,2,1,4,1,3,4,1,3,2,3,2,1,4,1,3,4,1,3,2,3,2,1,25
4,2,1,4,2,3,1,3,4,1,4,2,1,4,2,3,1,3,4,1,4,2,1,4,2,3,1,3,4,1,4,2,1,4,2,3,1,3,4,1,4,2,1,4,2,3,1,3,4,30
2,4,3,1,1,4,2,1,2,2,2,4,3,1,1,4,2,1,2,2,2,4,3,1,1,4,2,1,2,2,2,4,3,1,1,4,2,1,2,2,2,4,3,1,1,4,2,1,2,22
3,1,4,2,3,1,4,3,1,3,3,1,4,2,3,1,4,3,1,3,3,1,4,2,3,1,4,3,1,3,3,1,4,2,3,1,4,3,1,3,3,1,4,2,3,1,4,3,1,28
1,2,1,3,4,2,1,4,2,4,1,2,1,3,4,2,1,4,2,4,1,2,1,3,4,2,1,4,2,4,1,2,1,3,4,2,1,4,2,4,1,2,1,3,4,2,1,4,2,35
4,3,2,1,1,3,3,1,3,1,4,3,2,1,1,3,3,1,3,1,4,3,2,1,1,3,3,1,3,1,4,3,2,1,1,3,3,1,3,1,4,3,2,1,1,3,3,1,3,26
2,1,3,4,2,1,2,2,4,2,2,1,3,4,2,1,2,2,4,2,2,1,3,4,2,1,2,2,4,2,2,1,3,4,2,1,2,2,4,2,2,1,3,4,2,1,2,2,4,24
